City,Host
Albertville,France
Amsterdam,Netherlands
Antwerpen,Belgium
Athina,Greece
Atlanta,USA
Barcelona,Spain
Beijing,China
Berlin,Germany
Calgary,Canada
Chamonix,France
Cortina d'Ampezzo,Italy
Garmisch-Partenkirchen,Germany
Grenoble,France
Helsinki,Finland
Innsbruck,Austria
Lake Placid,USA
Lillehammer,Norway
London,UK
Los Angeles,USA
Melbourne,Australia
Mexico City,Mexico
Montreal,Canada
Moskva,Russia
Munich,Germany
Nagano,Japan
Oslo,Norway
Paris,France
Rio de Janeiro,Brazil
Roma,Italy
Salt Lake City,USA
Sankt Moritz,Switzerland
Sapporo,Japan
Sarajevo,Bosnia and Herzegovina
Seoul,South Korea
Sochi,Russia
Squaw Valley,USA
St. Louis,USA
Stockholm,Sweden
Sydney,Australia
Tokyo,Japan
Torino,Italy
Vancouver,Canada
